,Train Loss,Valid Loss
0,1.57953399228744,1.534841945094447
1,1.3178426642448475,1.315085353389863
2,1.1887997744175105,1.1535858761879705
3,1.0695132481364102,1.0164127426762735
4,0.9705843094449776,0.9347859390320317
5,0.8926499913900326,0.872176835613866
6,0.8283095974952747,0.819154679775238
7,0.7739721779257823,0.789754246511767
8,0.6738855750896992,0.7333074231301585
9,0.6306546135590627,0.7166412722679877
10,0.5958178349985526,0.7090747279505576
11,0.5224201237926116,0.6916961535330741
12,0.4864026691095951,0.6873217628848168
13,0.4360382336263473,0.6906861143727456
14,0.409695192025258,0.6989709792598602
15,0.3805145860100404,0.7009750508492992
16,0.3630505623534704,0.711359845053765
17,0.34618733040033245,0.7103736708241124
18,0.3405567879955738,0.7156812913956181
19,0.3305653963142481,0.7149467872035119
20,0.32789984288123936,0.7181124571830996
21,0.3234443124383688,0.7203312112439063
22,0.32135906271063364,0.7146627460756609
23,0.31912993553739327,0.7224304599146689
24,0.3177640851682577,0.7230750264660004
25,0.3157101796987729,0.7326027385650142
26,0.31486694572063595,0.723478126910425
27,0.3142037437034723,0.7215344463625262
28,0.3131467022288304,0.7236970240069974
29,0.3126236601995352,0.7235407252465526
